Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Максат Жусупбеков,12 августа 2024,"Высокая кухня, аутентичное место!",5,Eden Lounge Bar,4.8,303
Nataliya T,11 августа 2024,"Красивый интерьер, чистый бассейн, вкусные коктейли, но цены в меню завышенны, мы же не в Миконосе( поэтому ставлю 4.
Диджей порой тоже немного непонятен. В остальном все понравилось 🫰",4,Eden Lounge Bar,4.8,303
Ажар Толемис,9 августа 2024,"Недавно посетили с подругами и остались очень довольны! Вода чистая и комфортной температуры. Персонал вежливый и внимательный, всегда готовы помочь. В раздевалках поддерживается чистота, а оборудование, включая душевые и шкафчики, работает без нареканий.
Дизайн бассейна заслуживает отдельной похвалы. Пространство оформлено с большим вкусом: стильный интерьер, современное освещение и уютная атмосфера создают приятное ощущение комфорта и расслабления.
Определенно рекомендую этот бассейн всем, кто хочет качественно провести время, и насладиться стильной и уютной атмосферой!",5,Eden Lounge Bar,4.8,303
Onder Kaya,"9 августа 2024, отредактирован",Всё отлично!!!,5,Eden Lounge Bar,4.8,303
Arina >.<,"8 августа 2024, отредактирован","Сегодня мы с мамой и сестрой решили посетить Eden pool&bar, чтобы в 36 градусную жару отдохнуть у воды. Однако , на входе нас остановили и отказали в посещении без объяснения причин. Мы были одеты прилично и соответствовали всем возможным требованиям дресс-кода, но, к сожалению, так и не получили никаких разъяснений от охранника.

Что нас особенно удивило, перед нами пропустили девушку с явно поддельной брендовой сумкой. Если это является показателем платежеспособности и критерием для допуска, то заведение выставляет себя в крайне неприглядном свете.

Мы были разочарованы , ведь ожидали от заведения более вежливого отношения. Рекомендовать никому не буду",1,Eden Lounge Bar,4.8,303
Apple User,7 августа 2024,Очень атмосферное и приятное место. Официанту Рамазан отдельное спасибо за супер обслуживание👍🏻,5,Eden Lounge Bar,4.8,303
Dilara B,6 августа 2024,"Clean pool, friendly personnel, cool vibe",5,Eden Lounge Bar,4.8,303
snsjsksjs djdndndndndndndnd,4 августа 2024,"Блоггеров 17-20 лет девушек впускаете, простых девушек 20-и лет нет)) Это капец, ждите тикток про себя",1,Eden Lounge Bar,4.8,303
Меруерт Жузбаева,4 августа 2024,"Классное место, официанты 👍 еда 😍 очень вкусно все",5,Eden Lounge Bar,4.8,303
Valentina Rott,1 августа 2024,"Крутое заведение!!! Обслуживание супер, особенно официант Александр, все соответствует 10/10, очень нравится оформление фруктового ассорти🔥🔥🔥",5,Eden Lounge Bar,4.8,303
Айжан Рамазанова,31 июля 2024,Хороший бар,5,Eden Lounge Bar,4.8,303
Khamit Dauzov,30 июля 2024,"Чисто атмосферно, красиво. Сервис, отношение к клиентам - все на уровне! Мне нравится 🙂‍↕️",5,Eden Lounge Bar,4.8,303
Мадина Дугансупиева,"26 июля 2024, отредактирован","Отличное место для отдыха! Просторный и чистый бассейн — идеален для расслабления. Вкусная еда, отличный выбор напитков и дружелюбный персонал сделали наш день незабываемым. Интерьер современный и уютный. Определенно вернемся снова!",5,Eden Lounge Bar,4.8,303
Анастасия Кирьянова,25 июля 2024,Прекрасное место в центре Алматы! Забежать на пару часов охладиться и насладиться холодными напитками😍,5,Eden Lounge Bar,4.8,303
Assel Amirbekova,23 июля 2024,"Отличный сервис, персонал очень внимательный
Вкусная кухня
Радует, что выдают халаты, полотенца и прочее

Вода в бассейне видимо с подогревом, довольно теплая 👍🏻",5,Eden Lounge Bar,4.8,303
Городская легенда,18 июля 2024,"⁠прекрасно провели время, теплый бассейн даже в не погоду вода была комфортная для плаванья порадовала кухня и бар.",5,Eden Lounge Bar,4.8,303
Sabira Abdr,18 июля 2024,"Такой бассейн прям в центре города - настоящее открытие 😍 Алматы не хватало такого заведения. Бар, кухня, обслуживание на уровне🤌🏻 А вид - это чистое эстетическое наслаждение.

Приду еще 😌",5,Eden Lounge Bar,4.8,303
Амина Кенраева,17 июля 2024,"Каждую пятницу и субботу я всегда в Эдене! Атмосфера очень классная и главное открытое пространство 🙌
Бассейн шикарное дополнение 🙌",5,Eden Lounge Bar,4.8,303
Алтынай Хаделашвили,17 июля 2024,"Люблю это место, посещаю каждый день несмотря на погоду 🙂 в быстрой доступности место премиального качества!",5,Eden Lounge Bar,4.8,303
Olga Z,17 июля 2024,"Шикарный бассейн. Вода теплая, было комфортно купаться даже под дождем. Персонал в меру внимательный. Ничего с собой брать не нужно, все необходимое предоставляют. Два полотенца, халат, тапочки и наборчик для гигиены. Обязательно приду еще.",5,Eden Lounge Bar,4.8,303
Пеку,15 июля 2024,"Не знаю почему многие пишут не очень отзывы,но персонал очень вежливый,чистое заведение,еду очень вкусная. Спасибо большое приду ещё не один раз🔥",5,Eden Lounge Bar,4.8,303
Aruna Кайрат,15 июля 2024,"Вчера посетили данное заведение с подругами, хотя и были негативные отзывы. Место меня приятно удивило, чистый бассейн, вкусная кухня и атмосфера, как за границей. Что больше всего мне понравилось - это отсутствие детей и классное шоу, которое начинается после 19",5,Eden Lounge Bar,4.8,303
Дильназ Джанбакиева,15 июля 2024,"Кухня супер, на удивление все было отлично, не знаю почему так много негативных отзывов. Нам с парнем все понравилось, хотим посетить ещё)",4,Eden Lounge Bar,4.8,303
Mln O,15 июля 2024,Посетила бассейн в будний день и осталась в восторге! Атмосфера здесь просто потрясающая. Буду рекомендовать друзьям и обязательно вернусь сюда снова! ♥️,5,Eden Lounge Bar,4.8,303
Жанель Сериковна,15 июля 2024,Супер атмосфера! Сервис на высшем уровне! Очень стильно все оформлено! Вернусь еще раз однозначно!,5,Eden Lounge Bar,4.8,303
Lady Lady,10 июля 2024,Классное место ! Самое главное нет детей!очень понравилось,5,Eden Lounge Bar,4.8,303
Zhanel Ametova,9 июля 2024,Вкусные блюды там очень понравился их горячие блюды,5,Eden Lounge Bar,4.8,303
Житель Алматы,"9 июля 2024, отредактирован","Красиво, шоу каждые 30 минут, отличная атмосфера",5,Eden Lounge Bar,4.8,303
Мурат Илесбеков,6 июля 2024,"Атмосфера крутая кухня топ
Приду еще",5,Eden Lounge Bar,4.8,303
Temirlan Aidar,сегодня,"Тұнып тұрған өнер туындысы десек қате болмайды бұл мейрамхананы 👍🏼 Атмосфера өте жағымды , апетит ашады. Тамағы бағасы сай тіл үйіреді❤️ Ең бастысы жүгіріп көңілімізге қарап , шайымызды сақырлатып қайнатып берген , су сұрасан айран берген бауырымыз Көкжиекке мың алғыс жұмысына береке молодец аузына май астына тай бауырым🥇",5,Chaihana NAVAT,4.8,4199
А. Болатқызы,"22 апреля 2025, отредактирован",Очень понравилось заведение и сама атмосфера. Кухня суперская каждый раз удивляют разнообразием блюд. Отдельная благодарность официанту Кокжиеку за обслуживание🙌,5,Chaihana NAVAT,4.8,4199
Aika S,22 апреля 2025,Тамактары жақсы. Обслуживание на высшем уровне. Официантка Нурлы молодец. Заказдарды жылдам акеледы. Рахмет,5,Chaihana NAVAT,4.8,4199
Галым Арапбай,22 апреля 2025,"Как всегда здесь очень вкусно и красиво Хочу отдельно отметить нашего официанта — Диярбек был просто великолепен! Подсказал по выбору блюд, всё принес вовремя, лишний раз не мешал, но всегда был рядом, если что-то нужно. Очень приятно было общатьс",5,Chaihana NAVAT,4.8,4199
Кунсауле Айбол,22 апреля 2025,"Обслуживание на высоком уровне. Официант проявил профессионализм, быстро реагировал на просьбы и был тактичен. Благодарим за качественную работу и ДИЯРБЕКУ .",5,Chaihana NAVAT,4.8,4199
Айбек Бекмахан,22 апреля 2025,"Хочу выразить благодарность официанту ДИЯРБЕКУ за отличное обслуживание! Все было очень вежливо, быстро и аккуратно. Помог с выбором блюд, был внимателен к деталям и создавал приятную атмосферу. Спасибо за прекрасный сервис!",5,Chaihana NAVAT,4.8,4199
Killen Murphy,22 апреля 2025,"Хочу поблагодарить нашего ДИЯРБЕКА официанта за отличный сервис! Очень вежливый, внимательный и дружелюбный. Все заказанные блюда были поданы вовремя, а атмосфера благодаря такому обслуживанию стала ещё приятнее. Спасибо за профессионализм и позитивное настроение!",5,Chaihana NAVAT,4.8,4199
Веста Жусупова,21 апреля 2025,"Вкусно!
Чисто!
Красиво!

Сервис ОТЛИЧНЫЙ!
Персонал внимательный!
Расположение удобное, немного есть момент с парковкой (маловато места) но тем не менее мы всегда как приезжаем паркуемся удачно ❤️",5,Chaihana NAVAT,4.8,4199
Динмуханбет Байтимбетов,"21 апреля 2025, отредактирован","Тамақтары дәмді, интерьері керемет.",5,Chaihana NAVAT,4.8,4199
Альбина Тилегенова,20 апреля 2025,"Сегодня посетили эту точку чайханы Нават,и были в восторге от обслуживания! Обслуживал официант Диас, все очень вкусно",5,Chaihana NAVAT,4.8,4199
Jorabek Dawletow,20 апреля 2025,"Сегодня сидели с семьёй, праздновали день рождения! Нас обслуживал официант Диас, очень шустрый парнишка. Всё очень вкусно и главное обслуживание на уровне",5,Chaihana NAVAT,4.8,4199
Перизат,20 апреля 2025,"Керемет қызмет үздік десемде болады NAVAT рестораны, 1 этаждағы Аяулым қыздың қызметіне тәнті болдым, өзі жылдам әрі сабырлы, адамға деген ілтипатын айтып жеткізе алмаймын.КЕРЕМЕТ",5,Chaihana NAVAT,4.8,4199
A A,20 апреля 2025,"Вкусная кухня - это как обычно))
А именно в этом Нават дизайн и интерьер супер 😍
И что удивительно, тут очень тихо и спокойно 🥰",5,Chaihana NAVAT,4.8,4199
Arazmuradovna 96 Arzuw,20 апреля 2025,"Офицант Арсланга рахмет!Керемет қызмет үшін алғыс айтамын! Офисант өте сыпайы, ілтипатты әрі әрдайым күлімдеп жүрді. Тапсырысымызды жылдам әрі дәл жеткізді. Қонақжайлығыңыз үшін рахмет! Мұндай қызмет көрсету – нағыз кәсіпқойлықтың белгісі. Міндетті түрде қайта келеміз!",5,Chaihana NAVAT,4.8,4199
Bagdagul Begenowa,"20 апреля 2025, отредактирован","Официант Арслан хорошо обслуживал и позитивный парень,спасибо ему",5,Chaihana NAVAT,4.8,4199
Aiganym Menlai,"20 апреля 2025, отредактирован","Благодаря Айдане наш вечер в Navat стал по-настоящему уютным и тёплым. Она встречает гостей с искренней улыбкой, внимательна к деталям и с лёгкостью создаёт комфортную атмосферу. Всё было подано вовремя, аккуратно и с заботой. Такие сотрудники — настоящая редкость. Спасибо, Айдана, вы — большая умница!
😍 10/10",5,Chaihana NAVAT,4.8,4199
Айша Молжигиткызы,20 апреля 2025,"Тамақтары өте дәмді,интерьер жоғары стильде,қызмет көрсету сапасы керемет әсіресе Официант Темуджин бізге жақсы қызмет көрсетті😍✊",5,Chaihana NAVAT,4.8,4199
Aiman Rakhman,20 апреля 2025,"Аяулым, спасибо за хорошее обслуживание 🤗",5,Chaihana NAVAT,4.8,4199
Тамерлан Копбаев,20 апреля 2025,"Официант Тимаға үлкен алғысымды білдіремін! Қызмет көрсету сапасы өте жоғары деңгейде болды. Жылы қабақ танытып, барлық сұранысымызды жылдам әрі сыпайы орындады. Осындай кәсіби қызметкерлердің бары қуантады!",5,Chaihana NAVAT,4.8,4199
Zhanatt ~,"20 апреля 2025, отредактирован","Navat-та Айдана бізге тек ас ұсынған жоқ, ол нағыз жылы атмосфера сыйлады. Жымиысы — шынайы, сөйлеуі — сыпайы, қимылы — шапшаң. Әр сұрағымызға жауап беріп, бір сәтке де назардан тыс қалдырмады. Осындай қызметкерді кездестіру — үлкен сәттілік. Айданаға алғыс, еңбегің жана берсін!",5,Chaihana NAVAT,4.8,4199
Umid Boydadaev,20 апреля 2025,"Все классно,обслуживание на высшем уровне официант Тима лайк♡!!",5,Chaihana NAVAT,4.8,4199
Ashken Болатбек,20 апреля 2025,"Бүгін NAVAT ресторан да болдым,қызмет көрсету просто супер екен,кіргеннен күтіп алды,официант Аяулым күшті қыз екен,сыпайы,ашық, адемі қыз екен,айтқан тамақтарымыздың бәрін тиянақты әрі жылдам қыймылдап әкеліп берді,сіздерге үлкен рахмет❤️",5,Chaihana NAVAT,4.8,4199
𝓓𝓪𝓷𝓪 🤍,20 апреля 2025,"Айдана — өз ісінің шебері! Navat шайханасында бізге ерекше көңіл-күй сыйлады. Ілтипатты, жауапты әрі өте сыпайы қыз екен. Барлығын уақытылы жеткізіп, ұсақ-түйекке дейін мән беріп қызмет көрсетті.💋",5,Chaihana NAVAT,4.8,4199
Aspandiar Aitibaev,20 апреля 2025,"Хочу выразить благодарность официанту Темуджину за отличный сервис! Очень вежливый, внимательный и доброжелательный — с первых минут создал приятную атмосферу. Помог с выбором блюд, всё принес быстро и аккуратно. Было видно, что он действительно заботится о комфорте гостей. Спасибо за тёплый приём, обязательно вернусь снова!",5,Chaihana NAVAT,4.8,4199
Alpamys Serikuly,20 апреля 2025,"Бүгін нават мейрамханасында достарымызбен тамақтанғанбыз,барлығы керемет әсіресе официант Тима өз жұмысын өте жоғары деңгейде атқарды бізге ұнады🤝👍",5,Chaihana NAVAT,4.8,4199
Арайлым Туигынбек,20 апреля 2025,"Navat шайханасында Айдана есімді официант бізге өте тамаша қызмет көрсетті. Өте сыпайы, күлімдеп қарсы алып, тапсырысты тез әрі мұқият орындады. Барлық сұрағымызға сабырлы әрі ілтипатты жауап беріп, өз ісіне шын көңілмен қарайтыны бірден байқалды. Осындай кәсіби мамандар көп болса екен! Айданаға жұмысына сәттілік тілеймін!❤❤",5,Chaihana NAVAT,4.8,4199
Айым Усен,20 апреля 2025,"Барлығы ұнады керемет,обслуживание үшін официант Темуджинға көп рахмет,тамақтарының дәмі аузымнан кетпейді😍👍🏻👍🏻",5,Chaihana NAVAT,4.8,4199
Uldana Kenzhebek,"20 апреля 2025, отредактирован","Керемет қызмет үшін үлкен рахмет! Официант өте сыпайы, күлімдеп қызмет көрсетті. Тапсырысты тез қабылдап, тағамдарды уақытылы әкелді. Әрдайым назарда ұстап, жайлы атмосфера жасауға тырысты. Осындай кәсіби қызметкерлер көп болса екен деймін!
Айданаға рахмет🥰😘",5,Chaihana NAVAT,4.8,4199
Nnn Sss,20 апреля 2025,"Сегодня сидели на летке ,всё понравилось. Большое спасибо официантке Нурлы.",5,Chaihana NAVAT,4.8,4199
Мадияр Жилкибай,"20 апреля 2025, отредактирован",Жақсы отырыс болды достарымызбен барған едік жақсы қызмет көрсетті.Аяулым официантқа рахмет жақсы жұмыс істейді екен кіргеннен күліп қарсы алып жақсы қызмет атқарды өз ісінің маманы екен😘👍❤️,5,Chaihana NAVAT,4.8,4199
Салтанат Турабек,20 апреля 2025,"Аяулым — самая лучшая❤️ Обслужила нас очень хорошо, мы ушли очень довольными🥰🥰🥰 Обязательно придем еще раз!",5,Chaihana NAVAT,4.8,4199
Aylana ghter,20 апреля 2025,"Посетили ресторан и остались очень довольны кухней и обслуживанием. персонал вежливый и внимательный.
Спасибо за хорошее обслуживание официант Смадияр👍",5,Chaihana NAVAT,4.8,4199
Esfira Kasimjanovna,20 апреля 2025,"Сегодня были в этом замечательном месте очень понравилось, обслуживание просто супер спасибо официанту Смадияру старался",4,Chaihana NAVAT,4.8,4199
Aruzhan Kudaibergen,20 апреля 2025,"Аяулым деген официантка қызға риза болдық ,өте жоғары деңгейде қызмет көрсетті🙌",5,Chaihana NAVAT,4.8,4199
Асылжан М,"20 апреля 2025, отредактирован",Очень хорошие обслуживание Аяулым очень четко и быстро работает огромное ей спасибо,5,Chaihana NAVAT,4.8,4199
Bexultan Kaisaruly,"20 апреля 2025, отредактирован","Аяулым қыз өте жақсы қызмет көрсетті, керемет отырыс болды, обслуживание проста на высшем уровне👍",5,Chaihana NAVAT,4.8,4199
Нурбол Алтынбек,"20 апреля 2025, отредактирован","Аяулым деген қыз жақсы обслуживание көрсетті ,мәз болып кеттім😍",5,Chaihana NAVAT,4.8,4199
Мико Ii,20 апреля 2025,"Асем официантка күшті карсы алды.Тамактары да өте дамді, жиі барып тұрамыз",5,Chaihana NAVAT,4.8,4199
Асель Тулеушова,"20 апреля 2025, отредактирован",АСЕМ официант хорошое обслуживание.Будем чаще приходить🥰,5,Chaihana NAVAT,4.8,4199
⭐ А,20 апреля 2025,Чайхана Наватта келіп тамақтарын дәмін татып бешбармақ казымен ерекше ұнады Рахмет барлығына Обслуживание жасаған Официант Асема жақсы карсы алды Рахмет ❤️,5,Chaihana NAVAT,4.8,4199
Дархан Сембай,"20 апреля 2025, отредактирован",Нурбол топп,5,Chaihana NAVAT,4.8,4199
Даулет,20 апреля 2025,Тамағы дәмді рахмет Нұрбол ғарахмет,5,Chaihana NAVAT,4.8,4199
Nurdaulet ㅤㅤ,"20 апреля 2025, отредактирован","Аяулым официант хорошое обслуживание. Старалась для нас, детям тоже.Будем чаще приходить☺️",5,Chaihana NAVAT,4.8,4199
Нурсултан Мухтар,"20 апреля 2025, отредактирован",Спасибо за хорошее обслуживание официантка Аяулым. Обязательно будем приходить еще🙏🏻,5,Chaihana NAVAT,4.8,4199
Акзат Макмотов,20 апреля 2025,"Все хорошо, кроме официанта Нурбол обслуживающий столик 115 в 12:17 20 апр, уставшие после полумарафона и его пофигистическое отношение, раскидывал стаканы ложки, словно в боулинг играл. Еду приносил по чуть чуть раз в 15 минут, про плов и селёдку вовсе забыл. Отличное заведение с ужасным персоналом",1,Chaihana NAVAT,4.8,4199
Светлана Минкина,"18 апреля 2025, отредактирован",Очень вкусно и хорошее обслуживание,5,Chaihana NAVAT,4.8,4199
Apple User,"18 апреля 2025, отредактирован","Классная игровая, но еда не очень",5,Chaihana NAVAT,4.8,4199
Svetlana Svetlana,18 апреля 2025,"Не думала что придется писать плохой отзыв на эту чайхану. 17 апреля пригласила туда гостей из России - попробовать местную колоритную кухню. Итог- Хан чебуреки были разогретые, никакой воздушной подушки - невзрачные разогретые пирожки . Лагман попросили порцию 350 гр - принесли 700 гр - причем мы уточняли . Салаты с каким то ненормальным количеством глютамата и соевого соуса ! Пахлава с шариком мороженного - несвежая сухая, ее достали из холодильника и даже не подогрели - холодный кусок несвежего теста с шариком мороженного - фу . Нормальных позиций из меню нет в наличии.
Опозорили себя, меня и наш город .
Чек был на 52К тенге - стол 115
👎🏻",1,Chaihana NAVAT,4.8,4199
Yekaterina Khomenkova,17 апреля 2025,"Вкусно, шикарный сервис. Спасибо официанту Нилуфар! ☺️🥰",5,Chaihana NAVAT,4.8,4199
Мадияр,17 апреля 2025,Керемет ұнады,5,Chaihana NAVAT,4.8,4199
Не указано,"28 июля 2024, отредактирован","Недавно посетили ресторан Maui и остались в полном восторге! Летние террасы - это настоящее сокровище. Они уютные, красиво оформлены и предлагают замечательный вид на окружающую природу. Атмосфера на террасах расслабляющая и приятная, идеально подходит для летнего вечера.

Меню разнообразное и насыщенное, блюда были не только вкусными, но и красиво поданы. Персонал очень дружелюбный и внимательный, обслуживание на высшем уровне.

Рекомендуем это место для всех, кто хочет насладиться отличной едой и приятной атмосферой на свежем воздухе. Обязательно вернемся снова!",5,Maui,4.4,3450
Жани .,21 апреля 2025,"все вкусно и красиво,советую👍🏻",5,Maui,4.4,3450
Ая Нуржанова,21 апреля 2025,"Были 20.04 интерьер красивый, обслуживание среднее, но кухня просто ужасна. Заказали пасту, нашли там волос 😱, котлеты вообще без вкусны, в картошке ощущался очень сильно вкус масла. Раньше хромало обслуживание, но кухня была вкусной, теперь наоборот.",2,Maui,4.4,3450
Volodymyr Dachayev,"19 апреля 2025, отредактирован","Эстетично, вкусно.
Единственное, что вывеска не Maui, что немного вводит в заблуждение.",4,Maui,4.4,3450
erke .,14 апреля 2025,"милые официанты,вежливые,еда стоит за свою цену",5,Maui,4.4,3450
Ainura 001,"14 апреля 2025, отредактирован",.,2,Maui,4.4,3450
Алматы Тумасы,"14 апреля 2025, отредактирован","Вчера заказала ташкентский чай и том ям, в том яме были не понятные остатки или не нужные части мяса, а чай был с привкусом фери и лука😭😣 чай поменяли но привкус остался во рту, еще официантка принесла кружки и пальчиками держала ободок кружки(",1,Maui,4.4,3450
Айгерім Айдын,14 апреля 2025,10/10 но обсулживание ыыы,4,Maui,4.4,3450
Жандос Кудайбергенов,10 апреля 2025,"На 3 этаже было красиво, хорошое место рекомендуется",5,Maui,4.4,3450
damir rts,"7 апреля 2025, отредактирован",ответили только на след день на звонки и смс,3,Maui,4.4,3450
Farabi Batykh,"6 апреля 2025, отредактирован",Место встречи изменить нельзя☺️,5,Maui,4.4,3450
Muhammedali Adilov,"4 апреля 2025, отредактирован",Вкусно и круто праздновал др тут давненько) сейчас не знаю как тут,5,Maui,4.4,3450
Арайлым Саябеккызы,"2 апреля 2025, отредактирован","Огромное спасибо Нурик! Отличное обслуживание.
После того как мы ушли, он нашел забытые деньги и вернул нам. Очень ценим его честность и внимательность. Спасибо!",5,Maui,4.4,3450
A. ZH,2 апреля 2025,"Атмосфера прелесть 🥰 кухня обалденная, сервис превосходный, эстетика заведения зашкаливает 🤩 Молодцы 👏",5,Maui,4.4,3450
Айтолкын Т,"1 апреля 2025, отредактирован","блин просто ужас, обслуживание вообще 0 лимонадпен стаканды алдымызга акеп койдыда кетты,как будто оздериннын колдарын бар куйып алындар дегендей, официанттар шаршап жур. Заказды почти 40 минут куттык сондагысы 2 паста. Ещё келип обслужкага 12% алады. Жалко конечно.",1,Maui,4.4,3450
Akzholtay Makhanova,"1 апреля 2025, отредактирован",Всё на высшем уровне),5,Maui,4.4,3450
Elnara Biahan,26 марта 2025,Вкусно и красивоо😻,5,Maui,4.4,3450
Руфина Шаймарданова,"25 марта 2025, отредактирован","Были недавно в Мауи, все было на стопе даже не было лимонадов 💩 1 официант на все заведение 🤦‍♀️",1,Maui,4.4,3450
Sla 🌀,"24 марта 2025, отредактирован","Әдемі әуен, дәмді тағамдар және жылы атмосфера тамаша кеш сыйлайды. Жанды дауыстағы әндер кешті әсерлі әрі ұмытылмас етеді! Тамаша интерьер!",5,Maui,4.4,3450
Firuza Syrymbayeva,"24 марта 2025, отредактирован",Красивый интерьер,5,Maui,4.4,3450
Алтынай Камалова,21 марта 2025,кушты екен бардым,3,Maui,4.4,3450
Эльвира Дукембаева,"20 марта 2025, отредактирован","Прекрасное и атмосферное место
Хотелось бы отметить персонал в частности официанта Ислама

Спасибо большое Ислам за обслуживание от всех гостей! Желаем повышения по службе и всего самого наилучшего! Огромное спасибо!!!",5,Maui,4.4,3450
Dana Yerzhanova,"19 марта 2025, отредактирован",Ужасно,1,Maui,4.4,3450
Nurii Sanatova,"18 марта 2025, отредактирован","Очень выгодные цены , приятное обслуживание , я осталось довольна",4,Maui,4.4,3450
Ари Cat,"16 марта 2025, отредактирован","Еда совсем безвкусная стала, заказали феттучини Альфредо и суши, пицца. Остались разочарованными . Больше ни ногой.",1,Maui,4.4,3450
Ayagul Omarova,13 марта 2025,"Невозможно дозвониться, на ватсап ответили через 2 часа, сказали что на двоих столик забронировать не получится. То есть, двоих они как клиентов не рассматривают, нужно чтобы нас было как минимум 5.Очень жаль",1,Maui,4.4,3450
Gaukhar Sabit,"11 марта 2025, отредактирован","отличный ресторан,официанты очень,очень вежливые🥹,быстрое обслуживание)кухня и пространство шикарное 😍",5,Maui,4.4,3450
Rakha Dautuly,11 марта 2025,"не советую туда идти , обслуживание 0",1,Maui,4.4,3450
Кайрат Гафурович,10 марта 2025,"Қоңырауғада, вацапқа да жауап бермейді",1,Maui,4.4,3450
Apple User,"10 марта 2025, отредактирован",8-март күні адам басы депозит 10к 😁 2 адам болып бардық 20 мын құртып кету керек қай жерде сондай болу керек деп жазып қойғаның түсінбедім🥲 20 мыңға счетты толтырып собой алып кетесін деді амал который.,1,Maui,4.4,3450
💖 .,9 марта 2025,"не очень,обслуживание 0😵‍💫",1,Maui,4.4,3450
Алина Ескалиева,9 марта 2025,Ешқандай броньсыз келе беріңіздер деп айтты . Соңында түксіз қалдық. Живая очередь дейді. Қаншама адам осы Ловаға сеніп келіп отырғанда барлығы очередьта тұр. Сонда біз басқа адамдардың тамақ ішіп болғандарын күтеміз бе? Логика қайда??? Бүкіл күнімізді құртты,1,Maui,4.4,3450
Жалгас Осер,"9 марта 2025, отредактирован",Хорошие отношения с гостями,4,Maui,4.4,3450
Диас Торехан,9 марта 2025,Тел амайт ваше👍,1,Maui,4.4,3450
Куралай Кумыспекова,8 марта 2025,"Звоним не берут трубку, для чего номер оставляете ?!",1,Maui,4.4,3450
Molya (),8 марта 2025,"Вы испортили мне праздник. Операторы вообще как вы работаете? Не приходите, здесь работают не адекватные сотрудники!!!!",1,Maui,4.4,3450
Alina Abilkhanova,"6 марта 2025, отредактирован",Өте кушті 😍,5,Maui,4.4,3450
Andrey П,"5 марта 2025, отредактирован",Обслуживание 12%,1,Maui,4.4,3450
Аяжан Болысханова,"2 марта 2025, отредактирован","Атмосфера, уют на высшем уровне😍👍🏻 И еда 🥹❤️ Рекомендуюююю🥰",5,Maui,4.4,3450
Сымбат Нурланкызы,1 марта 2025,😍😍😍😍,5,Maui,4.4,3450
Anuar Rakhimdildinov,28 февраля 2025,"На 3 этаже было красиво, хорошое место рекомендуется",5,Maui,4.4,3450
Субхан Сердалы,"28 февраля 2025, отредактирован",👍🏻👍🏻,5,Maui,4.4,3450
Кайсар .,"28 февраля 2025, отредактирован","Ничего не было сказано про депозит,
Официанты 2 раза пролили одну и ту же колу",1,Maui,4.4,3450
Данагүл Асанова,26 февраля 2025,Очень красивая заведения нежные спокойные оттенки мне понравилось 🥰,4,Maui,4.4,3450
Sayara Samakova,"21 февраля 2025, отредактирован","все было плохо, мясо не дожарили, и привет острая кишечная инфекция!😃",1,Maui,4.4,3450
Акнур Маратовна,18 февраля 2025,"Еда 8/10, но кальян тооп😁",5,Maui,4.4,3450
MuraT I,"18 февраля 2025, отредактирован",Стейк 🥩 оценка 2 из 5,2,Maui,4.4,3450
Аслан Жанабергенов,18 февраля 2025,Офмгенная атмосфера в кафе,5,Maui,4.4,3450
Aigerim Nauruzbai,"17 февраля 2025, отредактирован","Красивое место , очень вкусно",5,Maui,4.4,3450
Моля ✨,"15 февраля 2025, отредактирован",обслуживание 0,2,Maui,4.4,3450
Не указано,29 января 2025,"Если вы цените качество, эстетику и гастрономическое удовольствие, Mildom Terrace станет для вас отличным выбором.",5,Mildom Terrace,4.8,193
Bekzat,сегодня,"Посидели в террасе все отлично, атмосфера, еда, только официантов найти трудно кнопка не работает",5,Mildom Terrace,4.8,193
Gulshat Bakytzhan,18 апреля 2025,"Смотрели матч с друзьями, все вкусно и быстро, сервис на уровне👌🏻, будем приходить еще не раз👍🏻🫶🏻",5,Mildom Terrace,4.8,193
Рахат Алиев,14 апреля 2025,Все понравилось 👍 рекомендую,5,Mildom Terrace,4.8,193
Хасан Рустамов,11 апреля 2025,Отличный кофе,5,Mildom Terrace,4.8,193
Al E,7 апреля 2025,"Очень приятное место с атмосферой уюта и европейского стиля🌹. Блюда подаются красиво и вкусно 😋 — паста просто восхитительная, видно, что готовят с душой. Персонал вежливый💗, обслуживание быстрое, без лишней суеты. Обязательно вернусь ещё и порекомендую друзьям!😍
Эстетично и красиво, можно и поесть вкусно и пофоткаться🥰",5,Mildom Terrace,4.8,193
Gauhar K.,26 марта 2025,"Забронировали вип на 20 персон, но количество гостей увеличилось вдвое. Задаток вернули, хоть и не должны были. Человеческий подход, буду знать куда возвращаться с небольшой компанией. Спасибо!",5,Mildom Terrace,4.8,193
Madina Ergalievna,26 марта 2025,"Очень атмосферно! Мы постоянные клиенты, любим ходить сюда семьей. Всем рекомендую!",4,Mildom Terrace,4.8,193
Майра Ж,24 марта 2025,"Посетили ресторан на ифтар. Интерьер, посуда, подача красивые. Внутри уютно, людей было немного, спокойная атмосфера. Мы заранее сделали предзаказ на сеты, все подали красиво, вовремя. Блюда вкусные. Благодарю официанта Элеонору и весь персонал за хороший сервис ❤️",5,Mildom Terrace,4.8,193
